CarID,Identification.Classification,Identification.ID,Identification.Make
1,Automatic transmission,2009 Audi A3 3.2,Audi
2,Automatic transmission,2009 Audi A3 2.0 T AT,Audi
3,Manual transmission,2009 Audi A3 2.0 T,Audi
4,Automatic transmission,2009 Audi A3 2.0 T Quattro,Audi
5,Automatic transmission,2009 Audi A3 2.0 T Quattro,Audi
6,Manual transmission,2009 Audi A5 3.2,Audi
7,Automatic transmission,2009 Audi A5 3.2 AT,Audi
8,Automatic transmission,2009 Audi Q7 4.2,Audi
9,Automatic transmission,2009 Audi Q7 3.6,Audi
10,Manual transmission,2009 Audi A4 Sedan 2.0 T Quattro,Audi
11,Automatic transmission,2009 Audi A4 Sedan 2.0 T Quattro AT,Audi
12,Automatic transmission,2009 Audi A4 Sedan 3.2,Audi
13,Automatic transmission,2012 Acura TL,Acura
14,Automatic transmission,2012 Acura TL SH-AWD,Acura
15,Automatic transmission,2010 BMW X5 M SUV,BMW
16,Automatic transmission,2011 BMW X5 M SUV,BMW
17,Automatic transmission,2010 BMW X6 M,BMW
18,Automatic transmission,2011 BMW X6 M,BMW
19,Manual transmission,2012 Chevrolet Colorado Work Truck,Chevrolet
20,Manual transmission,2012 Chevrolet Colorado Extended Cab Work Truck,Chevrolet
21,Automatic transmission,2012 Chevrolet Colorado Crew Cab 1LT,Chevrolet
22,Manual transmission,2011 Chevrolet Colorado Work Truck,Chevrolet
23,Manual transmission,2011 Chevrolet Colorado Extended Cab Work Truck,Chevrolet
24,Automatic transmission,2011 Chevrolet Colorado Crew Cab 1LT,Chevrolet
25,Manual transmission,2010 Chevrolet Colorado Work Truck,Chevrolet
26,Manual transmission,2010 Chevrolet Colorado Extended Cab Work Truck,Chevrolet
27,Automatic transmission,2010 Chevrolet Colorado Crew Cab LT1,Chevrolet
28,Automatic transmission,2012 Chevrolet Express LS 1500,Chevrolet
29,Automatic transmission,2012 Chevrolet Express LS 1500 AWD,Chevrolet
30,Automatic transmission,2011 Chevrolet Express LS 1500,Chevrolet
31,Automatic transmission,2011 Chevrolet Express LS 1500 AWD,Chevrolet
32,Automatic transmission,2011 Chevrolet Express LS 2500,Chevrolet
