CarID,Dimensions.Height,Dimensions.Length,Dimensions.Width
1,140,143,202
2,140,143,202
3,140,143,202
4,140,143,202
5,140,143,202
6,91,17,62
7,91,17,62
8,201,221,191
9,201,221,191
10,147,96,34
11,147,96,34
12,147,96,34
13,172,63,87
14,172,63,87
15,226,243,201
16,226,243,201
17,148,12,191
18,148,12,191
19,112,22,181
20,112,140,181
21,120,140,181
22,112,22,181
23,112,140,181
24,120,140,181
25,112,22,181
26,112,140,181
27,120,140,181
28,77,60,219
29,77,60,219
30,77,60,219
31,77,60,219
32,22,60,219
33,22,60,219
34,24,60,224
35,24,60,224
36,77,102,237
37,82,215,240
38,85,215,237
39,85,215,237
40,77,102,237
41,82,215,240
42,43,52,52
43,35,75,52
44,35,75,52
45,167,168,247
46,167,168,247
47,167,155,247
48,167,155,247
49,193,34,107
50,99,195,153
51,110,199,153
52,99,195,153
53,99,195,153
54,118,170,184
55,108,170,184
56,185,170,184
57,185,170,184
58,195,170,184
59,120,7,44
60,119,230,44
61,119,230,44
62,172,123,234
63,172,123,234
64,172,123,234
65,190,123,234
66,203,19,72
67,203,19,72
68,203,19,72
69,203,14,72
70,213,243,69
71,213,243,69
72,213,243,69
73,213,243,69
74,177,169,234
75,193,169,234
76,177,169,234
77,175,19,97
78,175,19,97
79,175,19,97
80,175,19,97
81,66,230,69
82,66,230,69
83,66,230,69
84,66,230,69
85,24,216,133
86,24,216,24
87,93,216,133
88,24,216,133
89,24,216,133
90,247,200,105
91,247,200,105
92,247,200,105
93,247,200,105
94,10,215,69
95,24,216,133
96,24,216,133
97,24,216,133
98,93,216,133
99,24,216,133
100,24,216,133
101,143,196,203
102,152,240,57
103,152,240,57
104,152,240,57
105,152,240,57
106,152,240,57
107,152,240,57
108,152,240,57
109,152,240,57
110,45,150,57
111,45,150,57
112,45,150,57
113,45,150,57
114,45,150,57
115,45,150,57
116,45,150,57
117,45,150,57
118,143,196,203
119,35,150,52
120,35,150,52
121,35,150,52
122,35,150,52
123,143,196,203
124,35,150,52
125,35,150,52
126,35,150,52
127,35,150,52
128,147,95,248
129,147,95,248
130,147,95,214
131,147,95,214
132,193,57,186
133,193,57,186
134,193,57,186
135,193,57,160
136,193,57,160
137,193,57,160
138,167,168,247
139,167,168,247
140,167,155,247
141,167,155,247
142,147,95,34
143,147,95,34
144,172,123,234
145,190,123,234
146,156,95,248
147,156,95,214
148,155,95,34
149,152,240,57
150,152,240,57
151,152,240,57
152,152,240,57
153,152,240,57
154,152,240,57
155,152,240,57
156,193,226,186
157,193,226,186
158,193,226,160
159,193,226,160
160,58,66,54
161,195,66,54
162,195,66,54
163,195,66,54
164,195,66,54
165,195,66,54
166,195,66,54
167,195,66,54
168,195,71,54
169,206,155,57
170,206,155,57
171,35,150,57
172,35,150,57
173,35,150,57
174,35,150,57
175,205,155,57
176,206,155,57
177,206,155,57
178,191,198,29
179,191,198,29
180,191,198,29
181,191,198,29
182,191,198,29
183,186,198,29
184,186,198,29
185,186,198,29
186,191,198,29
187,191,198,29
188,185,181,31
189,185,181,31
190,208,93,186
191,208,93,186
192,208,93,186
193,208,93,186
194,208,93,186
195,208,93,186
196,208,93,186
197,208,93,186
198,208,93,186
199,208,93,186
200,208,93,186
201,208,93,186
202,208,93,186
203,208,93,186
204,208,93,186
205,139,242,3
206,139,242,3
207,213,243,69
208,213,243,69
209,175,19,97
210,175,19,97
211,175,19,97
212,66,230,69
213,66,230,69
214,247,200,105
215,247,200,105
216,139,242,3
217,139,242,3
218,191,197,29
219,191,198,29
220,191,198,29
221,191,198,29
222,191,198,29
223,186,198,29
224,186,198,29
225,186,198,29
