CarID,Engine Information.Driveline,Engine Information.Engine Type,Engine Information.Hybrid,Engine Information.Number of Forward Gears,Engine Information.Transmission,Fuel Information.City mpg,Fuel Information.Fuel Type,Fuel Information.Highway mpg,Identification.Classification
1,All-wheel drive,Audi 3.2L 6 cylinder 250hp 236ft-lbs,TRUE,6,6 Speed Automatic Select Shift,18,Gasoline,25,Automatic transmission
2,Front-wheel drive,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,22,Gasoline,28,Automatic transmission
3,Front-wheel drive,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,TRUE,6,6 Speed Manual,21,Gasoline,30,Manual transmission
4,All-wheel drive,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,21,Gasoline,28,Automatic transmission
5,All-wheel drive,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,21,Gasoline,28,Automatic transmission
6,All-wheel drive,Audi 3.2L 6 cylinder 265hp 243 ft-lbs,TRUE,6,6 Speed Manual,16,Gasoline,27,Manual transmission
7,All-wheel drive,Audi 3.2L 6 cylinder 265hp 243 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,17,Gasoline,26,Automatic transmission
8,All-wheel drive,Audi 4.2L 8 cylinder 350 hp 325 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,13,Gasoline,18,Automatic transmission
9,All-wheel drive,Audi 3.6L 6 cylinder 280hp 266 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,14,Gasoline,20,Automatic transmission
10,All-wheel drive,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,TRUE,6,6 Speed Manual,22,Gasoline,30,Manual transmission
11,All-wheel drive,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,21,Gasoline,27,Automatic transmission
12,All-wheel drive,Audi 3.2L 6 cylinder 265hp 243 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,17,Gasoline,26,Automatic transmission
13,Front-wheel drive,Acura 3.5L 6 Cylinder 280 hp 254 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,20,Gasoline,29,Automatic transmission
14,All-wheel drive,Acura 3.7L 6 Cylinder 305 hp 273 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,18,Gasoline,26,Automatic transmission
15,All-wheel drive,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,12,Gasoline,17,Automatic transmission
16,All-wheel drive,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,12,Gasoline,17,Automatic transmission
17,All-wheel drive,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,12,Gasoline,17,Automatic transmission
18,All-wheel drive,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,12,Gasoline,17,Automatic transmission
19,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,TRUE,5,5 Speed Manual,18,Gasoline,25,Manual transmission
20,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,TRUE,5,5 Speed Manual,18,Gasoline,25,Manual transmission
21,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,TRUE,4,4 Speed Automatic,18,Gasoline,25,Automatic transmission
22,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,TRUE,5,5 Speed Manual,18,Gasoline,25,Manual transmission
23,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,TRUE,5,5 Speed Manual,18,Gasoline,25,Manual transmission
24,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,TRUE,4,4 Speed Automatic,18,Gasoline,25,Automatic transmission
25,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,TRUE,5,5 Speed Manual,18,Gasoline,25,Manual transmission
26,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,TRUE,5,5 Speed Manual,20,Gasoline,26,Manual transmission
27,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,TRUE,4,4 Speed Automatic,18,Gasoline,25,Automatic transmission
28,Rear-wheel drive,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,TRUE,4,4 Speed Automatic,13,Gasoline,18,Automatic transmission
29,All-wheel drive,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,TRUE,4,4 Speed Automatic,9,E85,12,Automatic transmission
30,Rear-wheel drive,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,TRUE,4,4 Speed Automatic,13,Gasoline,17,Automatic transmission
31,All-wheel drive,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,TRUE,4,4 Speed Automatic,13,Gasoline,17,Automatic transmission
32,Rear-wheel drive,Chevrolet 4.8L 8 Cylinder 280 hp 295 ft-lbs FFV,TRUE,6,6 Speed Automatic,8,E85,12,Automatic transmission
33,Rear-wheel drive,Chevrolet 6.0L 8 Cylinder 324 hp 373 ft-lbs FFV,TRUE,6,6 Speed Automatic,8,E85,12,Automatic transmission
34,Rear-wheel drive,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,TRUE,4,4 Speed Automatic,10,E85,13,Automatic transmission
35,All-wheel drive,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,TRUE,4,4 Speed Automatic,13,Gasoline,17,Automatic transmission
36,Rear-wheel drive,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,TRUE,4,4 Speed Automatic,15,Gasoline,20,Automatic transmission
37,Rear-wheel drive,Chevrolet 4.8L 8 Cylinder 302 hp 305 ft-lbs FFV,TRUE,4,4 Speed Automatic,14,Gasoline,19,Automatic transmission
38,Rear-wheel drive,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,TRUE,4,4 Speed Automatic,15,Gasoline,20,Automatic transmission
39,Rear-wheel drive,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,TRUE,4,4 Speed Automatic,15,Gasoline,20,Automatic transmission
40,Rear-wheel drive,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,TRUE,4,4 Speed Automatic,15,Gasoline,20,Automatic transmission
41,Rear-wheel drive,Chevrolet 4.8L 8 Cylinder 302 hp 305 ft-lbs FFV,TRUE,4,4 Speed Automatic,14,Gasoline,19,Automatic transmission
42,Rear-wheel drive,Nissan 3.7L 6 Cylinder 350hp 276 ft-lbs,TRUE,6,6 Speed Manual,18,Gasoline,26,Manual transmission
43,Rear-wheel drive,Nissan 3.7L 6 Cylinder 350hp 276 ft-lbs,TRUE,6,6 Speed Manual,18,Gasoline,26,Manual transmission
44,Rear-wheel drive,Nissan 3.7L 6 Cylinder 350hp 276 ft-lbs,TRUE,6,6 Speed Manual,18,Gasoline,26,Manual transmission
45,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,TRUE,6,6 Speed Manual,21,Gasoline,29,Manual transmission
46,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,TRUE,5,5 Speed Automatic,21,Gasoline,30,Automatic transmission
47,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,TRUE,5,5 Speed Automatic,21,Gasoline,30,Automatic transmission
48,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,TRUE,6,6 Speed Manual,21,Gasoline,29,Manual transmission
49,Rear-wheel drive,Bentley 6.8L 8 cylinder 530hp 774 ft-lbs Turbo,TRUE,6,6 Speed Automatic,9,Gasoline,15,Automatic transmission
50,All-wheel drive,Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo,TRUE,6,6 Speed Automatic,8,E85,14,Automatic transmission
51,All-wheel drive,Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo,TRUE,6,6 Speed Automatic Select Shift,8,E85,14,Automatic transmission
52,All-wheel drive,Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo,TRUE,6,6 Speed Automatic,8,E85,14,Automatic transmission
53,All-wheel drive,Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo,TRUE,6,6 Speed Automatic,12,Gasoline,19,Automatic transmission
54,All-wheel drive,Bentley 6.0L 12 Cylinder 552 hp 479 ft-lbs FFV Turbo,TRUE,6,6 Speed Automatic,8,E85,13,Automatic transmission
55,All-wheel drive,Bentley 6.0L 12 Cylinder 600 hp 553 ft-lbs FFV Turbo,TRUE,6,6 Speed Automatic,11,Gasoline,19,Automatic transmission
56,All-wheel drive,Bentley 6.0L 12 Cylinder 600 hp 553 ft-lbs FFV Turbo,TRUE,6,6 Speed Automatic,10,Gasoline,17,Automatic transmission
57,All-wheel drive,Bentley 6.0L 12 cylinder 600hp 553 ft-lbs Turbo,TRUE,6,6 Speed Automatic,10,Gasoline,17,Automatic transmission
58,All-wheel drive,Bentley 6.0L 12 cylinder 552 hp 479 ft-lbs Turbo,TRUE,6,6 Speed Automatic,10,Gasoline,17,Automatic transmission
59,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,TRUE,5,5 Speed Automatic,19,Gasoline,28,Automatic transmission
60,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,TRUE,6,6 Speed Manual,20,Gasoline,28,Manual transmission
61,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,TRUE,5,5 Speed Automatic,19,Gasoline,28,Automatic transmission
62,Front-wheel drive,Volvo 2.4L 5 Cylinder 168 hp 166 ft-lbs,TRUE,5,5 Speed Manual,21,Gasoline,29,Manual transmission
63,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,TRUE,5,5 Speed Automatic,21,Gasoline,30,Automatic transmission
64,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,TRUE,5,5 Speed Automatic,21,Gasoline,30,Automatic transmission
65,All-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,TRUE,6,6 Speed Manual,20,Gasoline,27,Manual transmission
66,Front-wheel drive,Volvo 2.5L 5 Cylinder 250 hp 266 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,20,Gasoline,30,Automatic transmission
67,All-wheel drive,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,18,Gasoline,26,Automatic transmission
68,All-wheel drive,Volvo 3.0 L 6 Cylinder 325 HP 354 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,18,Gasoline,26,Automatic transmission
69,All-wheel drive,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,TRUE,6,6 Speed Automatic,18,Gasoline,26,Automatic transmission
70,Front-wheel drive,Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs,TRUE,6,6 Speed Automatic Select Shift,19,Gasoline,27,Automatic transmission
71,All-wheel drive,Volvo 4.4L 8 Cylinder 311 hp 325 ft-lbs,TRUE,6,6 Speed Automatic,15,Gasoline,22,Automatic transmission
72,All-wheel drive,Volvo 3.0L 6 Cylinder 281 hp 295 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,16,Gasoline,24,Automatic transmission
73,Front-wheel drive,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,TRUE,6,6 Speed Automatic,18,Gasoline,27,Automatic transmission
74,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,TRUE,5,5 Speed Automatic,21,Gasoline,30,Automatic transmission
75,All-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,TRUE,6,6 Speed Manual,20,Gasoline,26,Manual transmission
76,Front-wheel drive,Volvo 2.4L 5 Cylinder 168 hp 166 ft-lbs,TRUE,5,5 Speed Automatic Select Shift,20,Gasoline,31,Automatic transmission
77,All-wheel drive,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,TRUE,6,6 Speed Automatic,17,Gasoline,22,Automatic transmission
78,Front-wheel drive,Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs,TRUE,6,6 Speed Automatic,18,Gasoline,25,Automatic transmission
79,All-wheel drive,Volvo 3.0L 6 Cylinder 281 hp 295 ft-lbs Turbo,TRUE,6,6 Speed Automatic Select Shift,16,Gasoline,21,Automatic transmission
80,Front-wheel drive,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,TRUE,6,6 Speed Automatic,18,Gasoline,27,Automatic transmission
81,Front-wheel drive,Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs,TRUE,6,6 Speed Automatic,18,Gasoline,25,Automatic transmission
82,All-wheel drive,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,TRUE,6,6 Speed Automatic,17,Gasoline,22,Automatic transmission
83,All-wheel drive,Volvo 3.0L 6 Cylinder 281 hp 295 ft-lbs Turbo,TRUE,6,6 Speed Automatic,16,Gasoline,21,Automatic transmission
84,All-wheel drive,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,TRUE,6,6 Speed Automatic,16,Gasoline,22,Automatic transmission
85,Rear-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,TRUE,5,5 Speed Automatic,17,Gasoline,23,Automatic transmission
86,Four-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,TRUE,5,5 Speed Automatic,17,Gasoline,22,Automatic transmission
87,Four-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,TRUE,5,5 Speed Automatic,17,Gasoline,22,Automatic transmission
88,Rear-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,TRUE,5,5 Speed Automatic,17,Gasoline,23,Automatic transmission
89,Four-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,TRUE,5,5 Speed Automatic,17,Gasoline,22,Automatic transmission
90,Front-wheel drive,Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs,TRUE,6,6 Speed Automatic,16,Gasoline,22,Automatic transmission
91,All-wheel drive,Volvo 4.4L 8 Cylinder 311 hp 325 ft-lbs,TRUE,6,6 Speed Automatic,14,Gasoline,21,Automatic transmission
92,Front-wheel drive,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,TRUE,6,6 Speed Automatic,15,Gasoline,22,Automatic transmission
93,All-wheel drive,Volvo 4.4L 8 Cylinder 311 hp 325 ft-lbs,TRUE,6,6 Speed Automatic,13,Gasoline,19,Automatic transmission
94,Front-wheel drive,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,TRUE,6,6 Speed Automatic,18,Gasoline,27,Automatic transmission
95,Rear-wheel drive,Toyota 2.7L 4 Cylinder 157 hp 178 ft-lbs,TRUE,4,4 Speed Automatic,18,Gasoline,23,Automatic transmission
96,Rear-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,TRUE,5,5 Speed Automatic,17,Gasoline,23,Automatic transmission
97,Four-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,TRUE,5,5 Speed Automatic,17,Gasoline,22,Automatic transmission
